user_id,lon,lat,arrival_time,departure_time,venue_name
868.0,139.7958329375058,35.71555674463177,2012-04-07 21:41:10+00:00,2012-04-08 16:00:24+00:00,Bar
868.0,139.69974517822266,35.64400695732112,2012-04-10 13:32:59+00:00,2012-04-11 13:54:39+00:00,Miscellaneous Shop
868.0,139.7757682545389,35.7285530707037,2012-04-13 02:20:48+00:00,2012-04-13 04:26:30+00:00,Convenience Store
868.0,139.79613334491546,35.71540647841476,2012-04-15 00:07:13+00:00,2012-04-15 01:41:39+00:00,Bar
868.0,139.77942688132572,35.715492283192475,2012-04-15 02:01:25+00:00,2012-04-16 00:09:29+00:00,Bar
868.0,139.77436625453885,35.72804645570369,2012-04-18 22:22:04+00:00,2012-04-19 01:57:50+00:00,Japanese Restaurant
868.0,139.77747693214195,35.71284748779523,2012-04-19 20:54:54+00:00,2012-04-19 22:37:30+00:00,Gym / Fitness Center
868.0,139.77120609599302,35.72819497187835,2012-04-21 16:35:34+00:00,2012-04-21 18:16:38+00:00,Café
868.0,139.76098001003265,35.738468183883555,2012-04-22 15:58:09+00:00,2012-04-22 16:26:24+00:00,Mall
868.0,139.6995359659195,35.64407743442958,2012-04-24 13:32:53+00:00,2012-04-24 17:31:56+00:00,Miscellaneous Shop
868.0,139.77440091470112,35.72861324584493,2012-04-25 01:07:40+00:00,2012-04-25 20:31:28+00:00,Clothing Store
868.0,139.77440091470112,35.72861324584493,2012-04-26 23:21:49+00:00,2012-04-27 22:38:14+00:00,Clothing Store
868.0,139.7964334487915,35.71487770323864,2012-04-28 15:53:05+00:00,2012-04-28 16:03:24+00:00,Temple
868.0,139.779451,35.715545,2012-04-29 00:01:22+00:00,2012-04-29 22:36:56+00:00,Bar
868.0,139.77942688132572,35.715492283192475,2012-05-04 22:28:00+00:00,2012-05-05 03:30:03+00:00,Bar
868.0,139.75338381353308,35.665702370660924,2012-05-07 12:46:24+00:00,2012-05-07 19:22:44+00:00,Park
868.0,139.75324906294009,35.665678072439825,2012-05-14 12:49:25+00:00,2012-05-14 18:03:24+00:00,Park
868.0,139.77747693214195,35.71284748779523,2012-05-15 20:26:07+00:00,2012-05-15 22:24:00+00:00,Gym / Fitness Center
868.0,139.77747693214195,35.71284748779523,2012-05-16 22:13:39+00:00,2012-05-16 22:48:26+00:00,Gym / Fitness Center
868.0,139.77693522682344,35.71342893617865,2012-05-17 20:37:46+00:00,2012-05-17 22:36:42+00:00,Gym / Fitness Center
868.0,139.6995359659195,35.64407743442958,2012-05-29 14:14:38+00:00,2012-05-29 17:18:28+00:00,Miscellaneous Shop
868.0,139.77747693214195,35.71284748779523,2012-05-29 20:16:05+00:00,2012-05-29 22:09:13+00:00,Gym / Fitness Center
868.0,139.77942688132572,35.715492283192475,2012-06-10 21:22:00+00:00,2012-06-10 23:17:06+00:00,Bar
868.0,139.775783232042,35.728607093961855,2012-08-14 00:16:23+00:00,2012-08-14 01:47:31+00:00,Clothing Store
